"Kunde";"Zählernummer";""Datum";"Zählerstand in m³";"Kommentar"
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.02.2018;16573;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.04.2018;17056;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.05.2018;17272;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.07.2018;17734;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.08.2018;17962;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.09.2018;18209;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.10.2018;18437;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.11.2018;18679;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.12.2018;18937;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.12.2018;19185;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.02.2019;19471;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;04.03.2019;19738;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;02.04.2019;19988;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.05.2019;20240;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.06.2019;20494;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;30.06.2019;20741;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.08.2019;21012;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.08.2019;21262;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;30.09.2019;21505;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.10.2019;21736;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.12.2019;21993;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.12.2019;22241;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.02.2020;22520;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.03.2020;22737;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;03.05.2020;23274;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.05.2020;23467;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.07.2020;23662;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.08.2020;23847;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.09.2020;24060;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.10.2020;24237;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.11.2020;24453;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;05.12.2020;24702;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.12.2020;24910;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.04.2021;25587;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.05.2021;25810;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.06.2021;26048;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.07.2021;26245;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.08.2021;26441;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.09.2021;26616;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;02.10.2021;26825;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.11.2021;27030;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;28.11.2021;27226;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.01.2022;27467;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;27.02.2022;27860;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;10.04.2022;28135;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.08.2022;28853;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.09.2022;29052;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;30.09.2022;29245;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;29.10.2022;29436;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;28.11.2022;29621;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.12.2022;29818;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.03.2023;30194;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.05.2023;30566;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.05.2023;30774;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.08.2023;31171;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.08.2023;31369;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;30.09.2023;31561;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;30.10.2023;31762;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.12.2023;31994;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;05.12.2023;32021;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.12.2023;32205;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;03.02.2024;32458;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;31.03.2024;32848;
ec617965-88b4-4721-8158-ee36c38e4db3;MST-af34569;01.05.2024;33065;
