"Kunde";"Zählernummer";""Datum";"Zählerstand in m³";"Kommentar"
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.02.2018;5,965;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.04.2018;6,597;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.05.2018;6,859;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.07.2018;7,344;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.08.2018;7,558;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.09.2018;7,745;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.10.2018;7,946;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.11.2018;8,183;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.12.2018;8,447;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;31.12.2018;8,745;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.02.2019;9,062;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;04.03.2019;9,42;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;02.04.2019;9,724;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.05.2019;9,962;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.06.2019;10,231;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;30.06.2019;10,47;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.08.2019;10,706;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;31.08.2019;10,904;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;30.09.2019;11,118;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;30.10.2019;11,352;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;24.11.2019;11,539;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.12.2019;11,606;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;31.12.2019;11,88;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.02.2020;12,177;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.03.2020;12,446;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;03.05.2020;13,01;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;31.05.2020;13,228;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.07.2020;13,464;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.08.2020;13,67;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.09.2020;13,858;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.10.2020;14,064;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;01.11.2020;14,303;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;26.11.2020;14,51;
ec617965-88b4-4721-8158-ee36c38e4db3;Xr-2018-2312456ab;05.12.2020;14,596;
