"Kunde";"Zählernummer";""Datum";"Zählerstand in m³";"Kommentar"
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.02.2018;473;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.04.2018;495;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.05.2018;505;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.08.2018;542;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.09.2018;556;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.10.2018;565;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.11.2018;574;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.12.2018;584;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;31.12.2018;594;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;31.12.2018;596;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.02.2019;604;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;04.03.2019;615;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;02.04.2019;625;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.05.2019;634;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.06.2019;644;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;30.06.2019;662;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.08.2019;674;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;31.08.2019;683;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;30.09.2019;692;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;30.10.2019;701;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.12.2019;710;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;31.12.2019;719;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;31.12.2019;722;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.02.2020;728;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;01.03.2020;736;
ec617965-88b4-4721-8158-ee36c38e4db3;23451007;03.03.2020;737;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;03.03.2020;0;"Zählertausch: neue Nummer 786523123"
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;03.05.2020;20;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;31.05.2020;29;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.07.2020;38;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.08.2020;47;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.09.2020;56;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.10.2020;63;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.11.2020;71;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;05.12.2020;81;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;31.12.2020;89;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.04.2021;114;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.05.2021;122;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.06.2021;131;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.07.2021;142;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.08.2021;150;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.09.2021;156;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;02.10.2021;164;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.11.2021;172;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;28.11.2021;178;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.01.2022;187;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;27.02.2022;202;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;10.04.2022;214;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.08.2022;242;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.09.2022;252;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;30.09.2022;258;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;29.10.2022;265;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;28.11.2022;271;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;31.12.2022;278;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.03.2023;292;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.05.2023;305;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;31.05.2023;314;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.08.2023;334;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;31.08.2023;343;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;30.09.2023;350;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;30.10.2023;357;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.12.2023;365;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;31.12.2023;372;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;03.02.2024;380;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;31.03.2024;393;
ec617965-88b4-4721-8158-ee36c38e4db3;786523123;01.05.2024;403;
